Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,124.500000,127.000000,121.860001,124.620003,123.063370,154118600
2020-02-01,124.660004,128.089996,106.669998,113.230003,112.479874,149846300
2020-03-01,113.190002,124.690002,94.339996,110.000000,109.271271,343541300
2020-04-01,107.949997,124.989998,107.000000,117.870003,117.089134,245060600
2020-05-01,117.599998,118.370003,111.250000,115.919998,115.919998,157437300
2020-06-01,116.000000,119.760002,115.260002,118.339996,118.339996,44326300
2020-06-09,119.400002,119.760002,118.150002,118.339996,118.339996,5530587
