Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,296.239990,327.850006,292.750000,309.510010,307.943604,733592600
2020-02-01,304.299988,327.220001,256.369995,273.359985,271.976532,754645900
2020-03-01,282.279999,304.000000,212.610001,254.289993,253.603500,1570018100
2020-04-01,246.500000,294.529999,236.899994,293.799988,293.006836,816222400
2020-05-01,286.250000,324.239990,285.850006,317.940002,317.081665,701520600
2020-06-01,317.750000,333.600006,317.209991,333.459991,333.459991,148320600
2020-06-09,332.140015,345.609894,332.010010,343.989990,343.989990,36928091
