Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,51.070000,54.820000,50.779999,52.630001,51.409752,257686400
2019-08-01,52.779999,55.340000,51.400002,55.040001,53.763874,270094100
2019-09-01,54.980000,55.919998,53.630001,54.439999,53.177788,216515600
2019-10-01,54.529999,55.389999,52.820000,54.430000,53.556744,245853500
2019-11-01,54.630001,54.740002,51.580002,53.400002,52.543274,226001900
2019-12-01,53.320000,55.450001,52.849998,55.349998,54.868797,230590700
2020-01-01,55.320000,59.080002,54.090000,58.400002,57.892284,286856700
2020-02-01,58.750000,60.130001,51.580002,53.490002,53.024971,245599900
2020-03-01,53.930000,59.000000,36.270000,44.250000,43.865299,693439800
2020-04-01,42.480000,49.730000,41.799999,45.889999,45.889999,395212300
2020-05-01,45.619999,47.459999,43.200001,46.680000,46.680000,382772400
2020-06-01,46.660000,49.970001,46.560001,49.849998,49.849998,101776100
