Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,49.290001,53.500000,47.070000,50.549999,49.412327,431124500
2019-08-01,50.520000,51.889999,44.799999,47.410000,46.342995,531366100
2019-09-01,47.119999,53.330002,46.500000,51.529999,50.710358,387955800
2019-10-01,51.970001,57.240002,48.529999,56.529999,55.630825,438267300
2019-11-01,55.939999,59.130001,55.619999,58.049999,57.126652,319751400
2019-12-01,58.549999,60.480000,55.750000,59.849998,59.222172,419629000
2020-01-01,60.240002,69.290001,58.520000,63.930000,63.259373,534150100
2020-02-01,64.459999,68.089996,53.599998,55.520000,54.937595,441502700
2020-03-01,55.790001,59.020000,43.630001,54.119999,53.816006,961035400
2020-04-01,52.500000,62.130001,51.220001,59.980000,59.643089,617676500
2020-05-01,58.830002,64.139999,56.099998,62.930000,62.576523,409256100
2020-06-01,62.490002,65.110001,60.830002,64.339996,64.339996,100576500
