Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,149.000000,150.550003,130.539993,131.350006,129.248459,64504300
2020-02-01,131.440002,140.500000,119.029999,124.239998,123.109741,73413500
2020-03-01,125.050003,129.559998,87.500000,116.040001,114.984344,157650200
2020-04-01,112.089996,129.600006,108.599998,116.379997,115.321251,116565600
2020-05-01,114.000000,124.830002,100.220001,120.129997,120.129997,84768400
2020-06-01,119.860001,139.940002,117.610001,137.720001,137.720001,21628500
2020-06-09,135.020004,135.410004,133.210098,134.190002,134.190002,3527707
