Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,28638.9707,29373.61914,28169.5293,28256.0293,28256.0293,6170770000
2020-02-01,28319.65039,29568.57031,24681.00977,25409.35938,25409.35938,6991990000
2020-03-01,25590.50977,27102.33984,18213.65039,21917.16016,21917.16016,15521140000
2020-04-01,21227.38086,24764.76953,20735.01953,24345.7207,24345.7207,9795600000
2020-05-01,24120.7793,25758.78906,22789.61914,25383.10938,25383.10938,7940630000
2020-06-01,25342.99023,27580.21094,25078.41016,25605.53906,25605.53906,4426990000
2020-06-09,27447.36914,27447.36914,27151.06055,27272.30078,27272.30078,381430000
