Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,189.000000,210.130005,187.160004,198.970001,198.350143,184029800
2020-02-01,199.940002,214.169998,172.979996,181.759995,181.193741,199941800
2020-03-01,186.320007,194.490005,133.929993,161.119995,160.850662,417986300
2020-04-01,156.320007,182.250000,150.600006,178.720001,178.421249,263772100
2020-05-01,174.449997,198.289993,171.720001,195.240005,194.913635,189867500
2020-06-01,194.710007,199.960007,193.119995,199.600006,199.600006,47368200
2020-06-08,199.580002,199.960007,197.130005,199.600006,199.600006,6622345
